Date,Site,Species,Pittag,Elastomer,OldNew,Sex,Tissue,SVL,Tail removed,Tail regrown,Weight,LatLoc,Sub,Size,Meso,LongLoc,Stage,PhotoID,PhotoID,PhotoSVL,HeadLength,HeadWidth,TrunkLength,TrunkWidth,HumerousLength,FemurLength,TailWidth,HeightTail,Notes
6/12/2021,UpperBear,GP,900215000822337,NA,N,U,Y,NA,0,0,2.6,WE,R,40,PL,261,L,108-0215,108-0216,48.73,13.24,9.31,33.65,7.95,2.58,3.14,5.94,7.13,wrote down wrong pit tag number? same as UP the next day
6/12/2021,UpperBear,GP,900215000822389,NA,N,U,Y,NA,0,0,3.0,WE,R,40,PL,278,L,108-0217,108-0218,51.61,12.61,8.92,34.77,8.25,3.18,2.89,6.15,7.77,
6/12/2021,UpperBear,GP,900215000822348,NA,N,U,Y,NA,5,5,2.2,WE,R,21,RF,276,L,108-0219,108-0220,47.42,12.11,8.14,32.72,7.79,3.26,3.72,5.51,6.34,
6/12/2021,UpperBear,GP,900215000822326,NA,N,U,Y,NA,2,0,5.0,WE,R,40,PL,278,L,108-0221,108-0222,59.2,15.76,10.97,40.43,9.88,3.95,5.28,7.74,8.46,
6/12/2021,UpperBear,GP,900113001674699,NA,O,F,Y,NA,0,0,5.4,WE,R,37,RF,334,A,108-0223,NA,67.17,16.55,11.23,45.61,10.68,2.8,3.9,8.08,NA,
6/12/2021,UpperBear,DF,900215000823282,NA,N,M,N,57,0,0,3.6,WE,R,25,RF,340,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pittag could be 282 or 202 uncertain
6/12/2021,UpperBear,GP,900215000822310,NA,N,U,Y,NA,0,0,3.3,WE,R,20,PL,421,L,108-0224,108-0225,50.9,12.26,8.38,35.84,8.3,3.02,3.58,7.33,6.87,
6/12/2021,UpperBear,GP,900215000822306,NA,N,U,Y,NA,0,0,2.3,T,R,25,PL,365,L,108-0226,108-0227,48.74,12.62,8.38,33.11,7.53,2.51,4.25,5.74,6.53,
6/12/2021,UpperBear,GP,900215000822338,NA,N,U,Y,NA,2,0,1.8,T,R,10,RF,375,L,108-0228,108-0229,45.98,11.99,8.14,32.09,7.43,3.66,3.06,5.88,6.23,
6/12/2021,UpperBear,DF,900215000823240,NA,N,F,N,36,0,0,1.1,T,R,18,RF,410,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
